,text,name,score,time_ms
59,Hace instantes en Paysand: Mujer fue herida de bala de fuego en la esquina de 18 de julio y Montevideo. Fue atcada cuando bajaba de su auto en la esquina del Banco Repblica. Hay un hombre detenido... ampliaremos https://t.co/ddry2lAWmG,paysandu|julio-herrera-y-obes,496.309,899.58
60," Sorteamos 3 entradas dobles para #MontevideoRock!

  Dale MG y RT
  Seguinos
 # Mencion a un amigo/a con #MontevideoRock.

 El 12/3 anunciamos a los ganadores. https://t.co/ltY0pVrmxx",3-de-15-mts|7-de-12-mts,201.389,443.03
61,"Lleg con 13 aos y en 2004 fue subcampen dptal sub 15 y campen dptal sub 14. 
A los 14 aos parti hacia Montevideo donde realiz todas las inferiores en @LiverpoolFC1915 hasta llegar a primera y luego @RamplaJuniorsFC.
Luego de 15 aos vuelve a casa.
Bienvenido @Fonchiito! https://t.co/eE1GROelHJ",sda-14|sda-send-15,863.76,264.902
62,".@Cichero2  aprovech la estada de @EstudiantesMEFC en Montevideo y pos para la foto junto a Jos Torrealba y Jaime Ciorciari. #VENEX 

 El ""Buda"" y el ""Colorado"", compartieron camerinos con el ex defensor central en su carrera como profesional. Vamos, ""acadmico""!  https://t.co/06wRqd6Jy9",jaime-estrazulas|jose-leguizamon,225.647,891.525
63,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,130.502
64," Sorteamos 3 entradas dobles para #MontevideoRock!

  Dale MG y RT
  Seguinos
 # Mencion a un amigo/a con #MontevideoRock.

 El 12/3 anunciamos a los ganadores. https://t.co/ltY0pVrmxx",3-de-15-mts|7-de-12-mts,201.389,448.019
65,"Lleg con 13 aos y en 2004 fue subcampen dptal sub 15 y campen dptal sub 14. 
A los 14 aos parti hacia Montevideo donde realiz todas las inferiores en @LiverpoolFC1915 hasta llegar a primera y luego @RamplaJuniorsFC.
Luego de 15 aos vuelve a casa.
Bienvenido @Fonchiito! https://t.co/eE1GROelHJ",sda-14|sda-send-15,863.76,327.957
66,"Toque de campana en la Bolsa de Valores de Montevideo por la igualdad de gnero #GeneracinIgualdad
Aqu empec mi carrera profesional y nunca haba visto tantas mujeres en la Bolsa de Valores https://t.co/6clyXiFW77",bolsa-de-valores-(montevideo),286.073,57.565
67,"Se buscan frentistas q residan en Montevideo,q sean razonables,coherentes,honestos,responsables,comprometidos y con muchas ganas de mejorar su ciudad y su calidad de vida para q presten por nica vez su voto a Laura Raffo.Abstenerse los fanticos y los q tienen vendas en los ojos",montevideo,212.998,93.703
68,"Montevideo tiene un gran equipo con ganas de hacer una mejor ciudad para todos y todas con @alvillar intendente. Y nada me enorgullece mas que ver ah luchando y militando a mi amiga y compaera de militancia @PatriciaSoria_ quien se lo tiene ms que merecido.
Arriba que se puede https://t.co/khSRNTH6Gr",montevideo,212.998,203.586
69,"Lleg con 13 aos y en 2004 fue subcampen dptal sub 15 y campen dptal sub 14. 
A los 14 aos parti hacia Montevideo donde realiz todas las inferiores en @LiverpoolFC1915 hasta llegar a primera y luego @RamplaJuniorsFC.
Luego de 15 aos vuelve a casa.
Bienvenido @Fonchiito! https://t.co/eE1GROelHJ",sda-14|sda-send-15,863.76,270.535
70,"EL GOBIERNO URUGUAYO DEBE SUSPENDER EL 
MONTEVIDEO ROCK

EL MUNDO EN CUARENTENA Y AISLAMIENTO  Y ACA SE PERMITE UNA AGLOMERACIN COMO ESTA?

ESTS DE ACUERDO CON Q SE DEBE SUSPENDER X SEGURIDAD?
Por favor respuesta y Retweet",sda-q|sda-x,396.215,44.048
71," Sorteamos 3 entradas dobles para #MontevideoRock!

  Dale MG y RT
  Seguinos
 # Mencion a un amigo/a con #MontevideoRock.

 El 12/3 anunciamos a los ganadores. https://t.co/ltY0pVrmxx",3-de-15-mts|7-de-12-mts,201.389,490.596
72,"Como les encanta cortar la rambla por cualquier cosa, ahora Montevideo Rock, tambin lo hacen por maratones, etc. Me parece que una de las dos vas principales de la ciudad no puede cortarse continuamente.",montevideo,212.998,107.717
73,"Fernando Daniel Martnez Estrada, miembro del Ejrcito mexicano y medallista en los Juegos Panamericanos Lima 2019, fue denunciado por su ex novia, Edna Quintanilla, de haberla golpeado y amenazado de muerte https://t.co/DT9nlx3oWD https://t.co/52kdDHnQJ8",lima|av-daniel-fernandez-crespo,494.712,410.403
74,"Fernando Daniel Martnez Estrada, miembro del Ejrcito mexicano y medallista en los Juegos Panamericanos Lima 2019, fue denunciado por su ex novia, Edna Quintanilla, de haberla golpeado y amenazado de muerte https://t.co/4a4gBTuLMf",lima|av-daniel-fernandez-crespo,494.712,372.62
75," Sorteamos 3 entradas dobles para #MontevideoRock!

  Dale MG y RT
  Seguinos
 # Mencion a un amigo/a con #MontevideoRock.

 El 12/3 anunciamos a los ganadores. https://t.co/ltY0pVrmxx",3-de-15-mts|7-de-12-mts,201.389,467.909
76,"Voleibol femenil se gan 2 - 0 a Palmore
Futbol equipo A gano 4-3 a IMM centro
Futbol equipo B pierde 4 a 2 contra palmore A
La seleccin  ftbol varonil Zavaleta c gan 7 a 0 al Mac Donell",sda-4|sda-2,705.281,737.584
77,"Toque de campana en la Bolsa de Valores de Montevideo por la igualdad de gnero #GeneracinIgualdad
Aqu empec mi carrera profesional y nunca haba visto tantas mujeres en la Bolsa de Valores https://t.co/6clyXiFW77",bolsa-de-valores-(montevideo),286.073,53.627
78,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,206.931
79,@DanielaBrandon @MabelRitaLamadr @MunicipioGMvd Recorr varias veces  el municipio G  miguelete desde agraciada a aparicio saravia y tambin cesar Mayo Gutirrez,bv-aparicio-saravia|cesar-batlle-pacheco,1411.986,686.444
80,"Montevideo y Colonia sern sedes del Campeonato Femenino Sub 17 de la CONMEBOL, que se disputar del 15 de abril al 3 de mayo del 2020.

 Participarn las diez selecciones de las Asociaciones Miembro de la CONMEBOL.

En 2018,  se llev el ttulo tras imponerse a . https://t.co/A9r1ZgWzi4",3-de-15-mts|8-de-17-mts,419.39,917.7
81," | Por #MontevideoRock

Se cerrar la circulacin en:

 RAMBLA entre Sarmiento y Tabar
 Desde las 15 h del 12/3 hasta las 22 h del 15/3

 Exhortamos a no estacionar en el circuito del evento https://t.co/ZLPiZa96n4",3-de-15-mts|7-de-12-mts,855.521,650.342
82,Acompaamos a @fchiguil a la inauguracin del paso vehicular en Eje Central y Montevideo que va a ayudar mucho a la movilidad de transporte pblico y privado en esta zona en el Norte de la Ciudad. https://t.co/s29bL5BcZw,montevideo,212.998,568.9
83,nlooooo kajajajq pobres las pendejas q iban x wos,sda-q|sda-x,396.215,18.896
84,"Oke oke, Corona is erg. Maar ik zie dit lampje al meer dan een week knipperen.... 
Toevallig iemand uit de Montevideo die meeleest?  #dtv #Montevideo https://t.co/YL28uyga6W",montevideo,386.291,63.382
85,@chdica @mvdtransporte @montevideoIM la entrada es por Julio Maria Sosa? La salida va ser por Artigas?,av-julio-maria-sosa|bv-gral-artigas,920.18,498.395
86,"Guada Romero fue otra de las cantantes que deslumbr en el @teatrosolis en ""El tango homenajea a la mujer"" excelente espectculo realizado por Federico Garca, lvaro Hagopian, Ignacio Surez y Alexis Buenseor https://t.co/VpbiWsQWUE",ignacio-nuez|luciano-romero,741.499,728.623
87,"AL ESTADIO, AL ESTADIO... Va tomando forma: comenz el armado de los boxes que darn ""techo"" a una cifra increble de 141 karts en el marco de la 1a. Fecha del Nacional. tercera edicin GP Ciudad de Montevideo Copa 20 Aos Autojuntas prximo sb y dom. ENTRADA LIBRE https://t.co/wfQ2DIhbwm",montevideo,212.998,301.887
88,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,178.346
89," | Por #MontevideoRock

Se cerrar la circulacin en:

 RAMBLA entre Sarmiento y Tabar
 Desde las 15 h del 12/3 hasta las 22 h del 15/3

 Exhortamos a no estacionar en el circuito del evento https://t.co/ZLPiZa96n4",3-de-15-mts|7-de-12-mts,855.521,616.773
90,"En el marco del curso Gestin de teatros pblicos llega a Montevideo, Hctor Schargorodsky, para conversar sobre ""Los desafos del gestor cultural en la tercera dcada del siglo XXI"".
 20 de marzo
 Sala Blanca Podest 
19 hs. 
Ms info  https://t.co/qzOopbN8Sy https://t.co/li18xuuYSj",marco-bruto|bv-26-de-marzo,460.776,495.065
91,"Con gol de Alejandro Meneal, Pearol le gan 1-0 a Wilstermann, en Montevideo. Por el mismo grupo, Colo Colo venci 1-0 a Paranaense, en Santiago. Todos los equipos estn con tres unidades #Libertadores https://t.co/A3Lt2MUC6N",santiago-dossetti|los-tres-gauchos-orientales,376.961,1042.765
92,Busco 1 o 2 entradas para montevideo rock,2|1,214.163,464.46
93,"@Diego__RS De que material son los bancos ??400.000 dlares??? Si estos fenmenos,que queran ser Gobierno y ahora ,siguen predidos de la teta ,quiere administrar la Plata de los contribuyentes as,estamos mal ,ES HORA DE CAMBIAR @lauraraffo intendenta",rio-de-la-plata|mal-abrigo,468.13,36.88
94,"Desde los 11 estoy esperando este momento, el sbado comienza mi sueo, por lo que vine a Montevideo hace 4 aos, por lo que empec a estudiar mi carrera. Es algo pequeo, pero se va a trasformar en algo grande, estoy segura. Nunca dejen de estudiar, de soar y menos de intentar.",sda-4|sda-11,242.066,417.879
95,@imtransito Quin ubico este contenedor en la nica de las cuatro esquinas que perjudica la visual de los conductores??? Spikerman y Belgrano. https://t.co/qAAxhepxcD,belgrano|juan-spikerman,1979.443,12.284
96,"CONTINA LA ENTREGA DE LA TARJETA ALIMENTAR

La tarjeta se retira en la sede del Banco de la provincia de Buenos Aires de Av. Montevideo y Ro de Janeiro (4), de 10:00 a 15:00 hasta que se complete la entrega total de las tarjetas.https://t.co/X6hBTLcJtP

#BerissoNosUNe https://t.co/YGHybjnGfG",10|15,339.325,831.785
97,"#PremRawat 
Por el corona virus se ha postergado su visita de este mes a Buenos Aires y Montevideo a presentar su libro #Escchate 
El 16 el libro estar disponible en las libreras de #Montevideo https://t.co/FDIUuEQJe5",montevideo,386.291,118.594
98,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,139.639
99,Ahora el Montevideo rock va a ser Montevideo rock gracias vida,montevideo,386.291,20.259
100,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,136.183
101,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,142.126
102,"Ciudad Vieja
Montevideo#Ciudad Vieja atrae a los visitantes por su historia, museos culturales y grandes monumentos centenarios. Estos incluyen la catedral metropolitana de estilo neoclsico, que domina la pintoresca https://t.co/jKzbjRzY0e",montevideo,212.998,70.482
103,"FIFA y CONMEBOL suspenden Eliminatorias y Libertadores, pero IM mantiene el  Montevideo Rock, porque ""Vamo' arriba Montevideo"".
Una vez ms dejando claro que la salud y la vida es lo que menos importa para algunos.",montevideo,386.291,46.924
